Schedule,Block 1 Rotation,Block 1 Site,Block 2 Rotation,Block 2 Site,Block 3 Rotation,Block 3 Site,Block 4 Rotation,Block 4 Site,Block 5 Rotation,Block 5 Site,Block 6 Rotation,Block 6 Site,Block 7 Rotation,Block 7 Site,Block 8 Rotation,Block 8 Site,Block 9 Rotation,Block 9 Site,Max Pairwise Distance (min),Dominant City
1,Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,UH Portage Medical Center,Pediatrics,"Akron Children's Hospital, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",37.5,Akron
2,Surgery,Aultman Hospital,Emergency Medicine,Cleveland Clinic Union Hospital,Family Medicine,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,Psychiatry,Mercy Health St. Elizabeth Youngstown,Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Elective,Generic Elective,89.2,Canton
3,Internal Medicine,Cleveland Clinic Akron General,Internal Medicine,Cleveland Clinic Akron General,Psychiatry,Cleveland Clinic Akron General,Surgery,Cleveland Clinic Akron General,Emergency Medicine,Cleveland Clinic Akron General,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Family Medicine,Cleveland Clinic Akron General,Obstetrics/Gynecology,Cleveland Clinic Akron General,3.9,Akron
4,Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Internal Medicine,UH Geauga Medical Center,Internal Medicine,UH Geauga Medical Center,Family Medicine,Aultman Hospital,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,75.2,Akron
5,Psychiatry,"Summa Health, Akron",Elective,Generic Elective,Pediatrics,"Akron Children's Hospital, Akron",Family Medicine,Mercy Health St. Elizabeth Boardman,Internal Medicine,Western Reserve Hospital,Internal Medicine,Western Reserve Hospital,Obstetrics/Gynecology,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",61.4,Akron
6,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Elective,Generic Elective,Family Medicine,Mercy Health St. Elizabeth Youngstown,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Pediatrics,"Akron Children's Hospital, Akron",66.3,Akron
7,Emergency Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Family Medicine,Aultman Hospital,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",26.9,Akron
8,Internal Medicine,Aultman/Mercy,Internal Medicine,Aultman/Mercy,Family Medicine,Aultman Hospital,Psychiatry,UH Cleveland Medical Center,Surgery,Aultman Hospital,Emergency Medicine,Aultman Hospital,Obstetrics/Gynecology,Aultman Hospital,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,56.5,Canton
9,Psychiatry,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",Family Medicine,"Summa Health Systems, Barberton",Obstetrics/Gynecology,"Summa Health, Akron",Elective,Generic Elective,15.8,Akron
10,Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,Aultman Hospital,Family Medicine,Mercy Health St. Elizabeth Boardman,Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",67.1,Akron
11,Pediatrics,"Akron Children's Hospital, Akron",Elective,Generic Elective,Psychiatry,"Summa Health, Akron",Obstetrics/Gynecology,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Internal Medicine,"Summa Health, Akron",Family Medicine,"Summa Health, Akron",Surgery,"Summa Health, Akron",Emergency Medicine,"Summa Health, Akron",6.6,Akron
